carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3571.3422890983475
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,364.091723329645
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1760.0007602678224
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7064.872362993652
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,15689.279402690347
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,15655.18705456307
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4871.095349720282
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2120.6779048826825
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2878.0116853303225
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,5302.477153792583
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5564.6277633534155
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,775.2186461933234
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,2454.5411166571876
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,622.9731287309605
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1159.7128571041485
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1513.8194163763087
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,302.577560417541
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19223.274928895364
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4184.160174456855
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,608.8972537978098
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4576.949481544216
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,401.3213067250699
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4172.57279057422
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4946.913269304957
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6281.696383424077
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,828.0281270562027
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2527.436688640613
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2108.403622753655
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1217.9181537734478
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1517.1553707412877
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,6150.712134943853
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,848.7674609622109
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4312.581686758412
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3206.528296571386
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1166.9077285782023
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6307.731269609038
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1235.571359629418
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5795.823038941329
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,631.1599496952272
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,390.0615230302583
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,492.97465380675476
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,744.0256045738856
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,421.13982461551086
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,458.7709496694715
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11561.016034507
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,7504.989838032583
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9806.517869602976
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,903.9778454960679
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,715.3705690279317
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3465.8718549881887
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1523.6940506811056
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5195.192738352464
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6443.940100270472
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,595.5982167232942
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3299.0939633295393
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,12377.76401219138
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,470.5378865551611
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2530.4449133585913
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5189.471821137525
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4071.364105722004
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2549.119784746217
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1025.1209829582701
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3574.330625408281
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1218.058348111133
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1930.9795052694317
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,11368.990070410546
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,451.84669772331404
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1918.7043332106578
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6252.911707123076
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,930.2739031009482
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,746.9630215138727
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,478.80731325827674
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5731.63318020541
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,672.3583012928739
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,615.6317345113648
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3952.634036692971
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,635.7992930305913
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1469.896732974606
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1161.8305118230796
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2479.7668891363123
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,598.9347623650906
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1376.0743121025557
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,597.982428166602
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4971.016472360032
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2719.995722561757
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1924.9932407845067
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,629.6454065053117
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2249.242245930481
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2985.670715041559
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,5056.451413009391
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2198.7766700020484
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10482.853348872395
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9430.215719742602
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1118.84786470782
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5628.524022804051
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17594.024443287864
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7453.581659861076
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,996.9122139956021
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2414.0649479850167
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5533.619363977231
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6520.739447777394
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6550.846444683559
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2890.791608134143
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4660.569039340123
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10733.196656305123
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1468.1051881596693
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,855.3484236028462
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,634.8703982978575
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,664.0549179318768
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2886.2311663761952
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,927.6535617180166
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5320.577733034368
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1707.52451190175
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3317.364616564777
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1765.0015584725807
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,400.9523390904762
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,925.4504314708474
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6698.742997692414
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,413.07768784377276
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1687.1472683150819
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,11426.294634910322
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4396.662926885065
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,589.6243939554074
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1609.606610968085
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6088.679840709447
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6157.113315050058
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,4394.45227792309
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2978.9084910495662
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,339.33722617329295
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4829.17731329463
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3811.040030146596
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1165.2488203163539
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1614.9891462305868
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1853.0721998921913
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3950.741878625001
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5369.758115539782
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5661.7804459100935
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3140.1649571167663
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4003.501383379907
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,372.5632563345407
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8475.07954116294
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,645.489559423766
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,4973.564104244593
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7062.922186946484
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,415.2444778739713
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,479.58881101648694
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2487.3367103567043
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4184.802626619704
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4390.333030578222
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3502.7771526529477
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5263.866175641038
